Customer Code,Customer Name,Country Name,Employee ,Customer Type
C2700,AASEN SHIPPING AS,NORWAY,OMAR,Active
C2499,Able Chartering Ltd,"KOREA, REPUBLIC OF",HYUKMIN,Active
C2477,Adnoc Logistics & Services,UNITED ARAB EMIRATES,KUROSH,Active
C2761,Advantis Sabang Raya Lines Pte Ltd,SINGAPORE,SASCHA,Active
C0804,AEGIS CARRIERS DMCC,UNITED ARAB EMIRATES,MALEK,Active
C2814,Aggregates Manufacturting Trading,UNITED ARAB EMIRATES,MALEK,Active
C1995,Agrocorp International Pte Ltd,SINGAPORE,SASCHA,Active
C2624,Akdeniz Shipping Ltd c/o Med Brokerage & Management Corp.,UNITED STATES OF AMERICA,ARZU,Active
C2249,Al Ghurair Energy DMCC,UNITED ARAB EMIRATES,CAN,Active
C0929,Al Ghurair Resources International LLC,UNITED ARAB EMIRATES,KUROSH,Active
C2576,AL SHUMOOKH CONSTRUCTION MATERIALS TRADING FZE,UNITED ARAB EMIRATES,MALEK,Active
C2515,ALBERTA SHIPMANAGEMENT LTD,GEORGIA,STELLA,Active
C2679,Alexandria Shipping Ltd c/o Med Brokerage & Management Corp,MARSHALL ISLANDS,ARZU,Active
C2838,AL-HAJ ABDUL QUDDUS LTD,BANGLADESH,JAIRAJ,Active
C2830,ALPHA LLC,RUSSIAN FEDERATION,ARZU,Active
C2764,ALPHA TECH TRADING FZE,UNITED ARAB EMIRATES,MALEK,Active
C2801,ALTERA SHUTTLE LOADING PRIVATE LIMITED,SINGAPORE,KUROSH,Active
C2831,AMIT PETROLUBES PRIVATE LIMITED,INDIA,JAIRAJ,Active
C0290,ANGLO-SWISS MARITIME COMPANY LIMITED,INDIA,OMAR,Active
C2377,Aram Petroleum Ltd,UNITED ARAB EMIRATES,MALEK,Active
C2780,Arzoo International FZE,UNITED ARAB EMIRATES,MALEK,Active
C2803,Asia Pacific Shipmanagement Pte Ltd,SINGAPORE,SATNAM,Active
C2645,Asset Dream Co Ltd,"KOREA, REPUBLIC OF",HYUKMIN,Active
C2412,Atlantik Chemicals Ltd. C/O    Atlantik Denizcilik Ticaret ve Sanayi  A.Ş.,TURKEY,ARZU,Active
C2762,Bainbridge Navigation DMCC,UNITED ARAB EMIRATES,SASCHA,Active
C2352,Bainbridge Navigation Pte Ltd,SINGAPORE,SASCHA,Active
C0856,BANNERET MARINE CARRIER CO LTD,TAIWAN,SASCHA,Active
C0021,BERGE BULK SHIPPING PTE LTD,SINGAPORE,SATNAM,Active
C2672,BLUE LAGOON SHIPPING FZE,UNITED ARAB EMIRATES,MALEK,Active
C2806,BLUE WAVE SHIPPING AND TRADING CORP.  C/O HICRI ERCILI DENIZCILIK A.S.,TURKEY,ARZU,Active
C1300,BRAVE ROYAL SHIPPING LTD,BANGLADESH,MALEK,Active
C2760,Bravery Maritime Corporation c/o Valorous Shipping Co,LIBERIA,VIKASH,Active
C2847,Bulker Shipping & Trading Group,MARSHALL ISLANDS,OMAR,Active
V0349,BUNKEREX LIMITED,UNITED KINGDOM,OMAR,Active
C2809,BUNKEREX LIMITED,UNITED KINGDOM,OMAR,Active
C2487,C&C Maritime Co Ltd,"KOREA, REPUBLIC OF",HYUKMIN,Active
C2737, C/O Administrator of Insolvency of Islands Cruises,PORTUGAL,OMAR,Active
C2463,DAVA PTE LTD,SINGAPORE,SASCHA,Active
C2654,DEAN'S TUGS & WORKBOATS LIMITED,UNITED KINGDOM,OMAR,Active
C2738,Delek Transport Agency Inc,GREECE,STELLA,Active
C0807,DEUTSCHE CALPAM GMBH,GERMANY,KUROSH,Active
C2566,DHL PROJECT & CHARTERING LIMITED,CHINA,HYUKMIN,Active
C2811,Dolunay Shipping AS,MARSHALL ISLANDS,CAN,Active
C2754,Dongwon Industries Co Ltd,"KOREA, REPUBLIC OF",HYUKMIN,Active
C2812,Doris Shipping & Forwarding LLC,UNITED ARAB EMIRATES,MALEK,Active
C2627,DRAMAR INTERNATIONAL SA C/O Dramar Denizcilik Ticaret AS,ISTANBUL,ARZU,Active
C2708,DUCAT MARITIME LIMITED,CYPRUS,OMAR,Active
C2749,DV BUNKER LLC,RUSSIAN FEDERATION,KELVIN WONG,Active
C2369,Dynacom Tankers Management Ltd,GEORGIA,STELLA,Active
C2804,EE Shipping Corp and/or Eleen Marine AD,BULGARIA,CAN,Active
C2770,Efe Shipping and Trading Co. Ltd.,ISTANBUL,OMAR,Active
C2776,"EIKOU MARINE CO.,LTD.",JAPAN,HYUKMIN,Active
C1346,ElbOil GmbH,GERMANY,KUROSH,Active
C2827,Eleen Armonia Shipping Inc and/or Eleen Marine AD.,BULGARIA,OMAR,Active
C2476,Eletson Corporation,GREECE,STELLA,Active
C1423,Enel Global Trading S.P.A,ITALY,VALERIO,Active
C2779,Energy Shine Well Corporation (HK) Limited,CHINA,SASCHA,Active
C0432,EUROTANKERS INC,GEORGIA,STELLA,Active
C2752,"FELICIA OWNING COMPANY LIMITED, Master & Owners M/T FONTANA C/O TMS Tankers Ltd",MARSHALL ISLANDS,STELLA,Active
C2790,FLORETTA SHIP MANAGEMENT PRIVATE LIMITED,INDIA,MALEK,Active
C0841,FORMOSA PLASTICS MARINE CORPORATION,TAIWAN,SASCHA,Active
C2756,GANT TRADING SHIPPING CORP C/O ERKUL S SHIPPING CORP,TURKEY,ARZU,Active
C2557,GIUSEPPE BOTTIGLIERI SHIPPING COMPANY S.p.A.,ITALY,VALERIO,Active
C2295,Global Bunkering Limited,BAHAMAS,DARIA,Active
C2506,Global Maritime Trust (S) Pte Ltd,SINGAPORE,HYUKMIN,Active
C2821,GOC PETROCHEMICALS PRIVATE LIMITED,INDIA,JAIRAJ,Active
C2843,Golden Shine Management Ltd,CHINA,SASCHA,Active
C2802,GP Petroleums Ltd,INDIA,Unassigned,Active
C2794,GPR Co Pte Ltd,SINGAPORE,HYUKMIN,Active
C2729,GRACE SLU,ANDORRA,STELLA,Active
C2746,Grace Trading Corporation LLC,MARSHALL ISLANDS,STELLA,Active
C2680,GREENERGY FUELS LTD,UNITED KINGDOM,OMAR,Active
C2840,GULF OIL PHILIPPINES INC.,PHILIPPINES,JAIRAJ,Active
C2730,Haesung Marine Co Ltd,"KOREA, REPUBLIC OF",HYUKMIN,Active
C0529,Hoegh Autoliners AS,NORWAY,SASCHA,Active
C2782,HOLBORN SHIPPING INC,MARSHALL ISLANDS,VAISHNAV,Active
C2759,Hong Glory International Pte Ltd,CHINA,SASCHA,Active
C2824,Hoyer Marine Trading GmbH,GERMANY,KUROSH,Active
C2795,ICEBERG TANKERS LTD,UNITED KINGDOM,OMAR,Active
C2815,IH Shipping 4 c/o Niriis Shipping S.A.,GREECE,CAN,Active
C2816,IH Shipping 9 c/o Niriis Shipping S.A.,GREECE,CAN,Active
C2438,INTERLINER SHIPPING COMPANY LTD C/O Tango Shipping & Trading Co.Ltd.,MALTA,ARZU,Active
C2789,International Marine & Energy Pte Ltd,SINGAPORE,MALEK,Active
C2410,J. Lauritzen A/S,DENMARK,SASCHA,Active
C1997,JAMPUR INTERNATIONAL FZE,UNITED ARAB EMIRATES,MALEK,Active
C2334,Kairos Oil Trading Pte Ltd,SINGAPORE,SONNICH,Active
C2846,Kemexon Ltd,HONG KONG,MALEK,Active
C2758,KOSOVA SHIPPING AND TRADING CO,MARSHALL ISLANDS,OMAR,Active
C2240,KYTO GLOBAL FUEL SUPPLY LLC,UNITED ARAB EMIRATES,Unassigned,Active
C2813,LANDMARK LINE CO LTD,"KOREA, REPUBLIC OF",HYUKMIN,Active
C1533,LAURITZEN BULKERS A/S C/O J. LAURITZEN,DENMARK,SASCHA,Active
C2593,LAURITZEN KOSAN C/O J. LAURITZEN,DENMARK,SASCHA,Active
C2748,Liberty di Navigazione S.r.l.,ITALY,VALERIO,Active
C2784,LILA SHIPPING LIMITED TRUST COMPANY COMPLEX,MARSHALL ISLANDS,OMAR,Active
C2697,LIVESTOCK SHIPPING SERVICES PTY LTD,AUSTRALIA,VALERIO,Active
C0482,LMCS MARITIME PVT. LTD.,INDIA,OMAR,Active
C2482,Lotus Shipping Ltd,GEORGIA,STELLA,Active
C2285,Louis Dreyfus Company Freight Asia Pte Ltd,SINGAPORE,SATNAM,Active
C2286,Louis Dreyfus Company Suisse SA,SWITZERLAND,SONNICH,Active
C2331,LSS Ocean Transport DMCC,UNITED ARAB EMIRATES,KUROSH,Active
C2820,M/V “ANASTASIA K” GOLDEN SEA INVESTMENTS LTD C/O CHARTERWELL MARITIME S.A.,GREECE,STELLA,Active
C0833,MALIK SUPPLY AS,DENMARK,KUROSH,Active
C022617,MARINE MASTER OFFSHORE SERVICES W.L.L.,QATAR,MALEK,Active
C2032,MARTRADE GULF LOGISTICS FZCO,UNITED ARAB EMIRATES,KUROSH,Active
C2810,MARTRADE SHIPPING + TRANSPORT,GERMANY,OMAR,Active
C2712,Meck Petroleum DMCC,,CAN,Active
C2115,Medkon Hat Isletmeciligi Denizcilik ve Ticaret AS,TURKEY,ARZU,Active
C2494,MINERVA BUNKERING PTE LTD,SINGAPORE,SASCHA,Active
C2755,"MLB Manfred Lauterjung Befrachtung GmbH & Co. KG, Emden",GERMANY,SASCHA,Active
C2608,Mrc Mina Shipping Corporation c/o M.R.C. Denizcilik Turizm ve Petrol Urunleri Ticaret Ltd Sti,TURKEY,ARZU,Active
C2543,MRC SEMIRAMIS SHIPPING CORP c/o M.R.C. Denizcilik Turizm ve Petrol Urunleri Ticaret Ltd Sti,TURKEY,ARZU,Active
C2778,"MS ""VEGA HERCULES"" Schifffahrtsgesellschaft UG (haftungsbeschränkt) & Co. KG",GERMANY,KUROSH,Active
C2819,MS Vega Scorpio Schifffahrtsgesellschaft mbH & Co. KG,GERMANY,KUROSH,Active
C2842,Multimax Shipping Ltd,HONG KONG,SONNICH 1,Active
C2715,Multimax Shipping Pte Ltd,CHINA,SONNICH,Active
C2796,Mystic Ocean SA,PORTUGAL,OMAR,Active
C2341,National Chemical Carriers,SAUDI ARABIA,KUROSH,Active
C2781,Nayara Energy Ltd,INDIA,MALEK,Active
C2607,NIMR INTERNNATIONAL LLC,OMAN,MAAZ AHMED,Active
C2797,NORDIC BREEZE NAVIGATION LTD c/o Bright Denizcilik ve Gemi İşletmeciliği A.Ş.,MARSHALL ISLANDS,ARZU,Active
C2427,Nordic Bulk Carriers A/S,DENMARK,SONNICH,Active
C2773,Norvic Shipping Asia Pte Ltd,SINGAPORE,SASCHA,Active
C0115,OCEAN ENERGY LTD,MONACO,VALERIO,Active
C2818,OCEAN ENERGY LTD C/O OCEAN ENERGY Monaco,MONACO,KUROSH,Active
C2850,OCEANIC NAVIGATION INC.,MARSHALL ISLANDS,CAN,Active
C2637,OCEANUS LNG BETA LLC KITA LNG C/O TMS CARDIFF GAS LTD,MARSHALL ISLANDS,STELLA,Active
C2791,"Olam International Limited, Singapore",SINGAPORE,SASCHA,Active
C1710,OMAN SHIPPING COMPANY S.A.O.C.,OMAN,KUROSH,Active
C1241,OMEGA BUNKER S.N.C,ITALY,KUROSH,Active
C2753,Omega Maritime Pte. Ltd.,SINGAPORE,SATNAM,Active
C2306,OMSE SHIPPING AND TRADING LTD. c/o TANGO SHIPPING & TRADING LTD,MALTA,ARZU,Active
C2777,Orontes International Ltd c/o Med Brokerage & Management Corp,UNITED STATES OF AMERICA,ARZU,Active
C2792,PHOENIX SHIPPING & TRADING,GREECE,STELLA,Active
C2763,Planet Marine SA c/o Signal Maritime Ltd,MARSHALL ISLANDS,CAN,Active
C2787,PNSL BERHAD,MALAYSIA,SASCHA,Active
C1559,"Pola Maritime Ltd, Cyprus",CYPRUS,KUROSH,Active
C0235,"POLARIS SHIPPING CO.,LTD","KOREA, REPUBLIC OF",HYUKMIN,Active
C1633,PREMUDA MALTA HOLDING LTD c/o OBO FINAV ONE LIMITED,MALTA,ARZU,Active
C2414,Prominence Maritime,ATHENS,STELLA,Active
C2280,PT Pertamina International Shipping,SINGAPORE,SONNICH,Active
C2713,Pyxis Maritime Corp,GREECE,STELLA,Active
C2823,Radilucis Maritime Limited,MARSHALL ISLANDS,STELLA,Active
C2625,Red Funnel Shipping Ltd c/o Med Brokerage & Management Corp.,UNITED STATES OF AMERICA,ARZU,Active
C022622,Repsol Trading S.A,SPAIN,SASCHA,Active
C2650,Riddhi Siddhi Crusher & Land Transport LLC,UNITED ARAB EMIRATES,VAISHNAV,Active
C0153,RIO TINTO PROCUREMENT (SINGAPORE) PTE LTD,SINGAPORE,SATNAM,Active
C2805,Sailing Trading FZE,,MALEK,Active
C2799,SALDA ENTERPRISE LTD,ANTIGUA AND BARBUDA,OMAR,Active
C2822,SAVITA OIL TECHNOLOGIES LIMITED,INDIA,JAIRAJ,Active
C2550,SEA LEAD SHIPPING PTE LTD,SINGAPORE,MALEK,Active
C2775,SEA TANKERS 11 LTD c/o YMN TANKER DENİZ İŞLETMECİLİĞİ A.Ş.,TURKEY,ARZU,Active
C2449,Sea Traders S.A,GEORGIA,STELLA,Active
C2648,SEAMASTERS INTERNATIONAL S.A.,GREECE,STELLA,Active
C2464,SEGANG SHIPPING CO LTD,"KOREA, REPUBLIC OF",HYUKMIN,Active
C2091,Siam Gas Trading Pte Ltd,SINGAPORE,SASCHA,Active
C0168,"SIAM LUCKY MARINE CO., LTD",THAILAND,SASCHA,Active
C2621,SIMA PETROL S.A.,TURKEY,ARZU,Active
C1298,SIMTRA INTERNATIONAL LLC,UNITED ARAB EMIRATES,MALEK,Active
C1614,Sirius Deniz İnşaatı ve Gemi Kurtarma Ltd.Şti. C/O ALERIA DENIZCILIK VE TICARET A.Ş.,ISTANBUL,ARZU,Active
C2683,SOFIE INTERNATIONAL SA,MARSHALL ISLANDS,ARZU,Active
C2807,SOL SHIPPING INTERNATIONAL PTE LTD,CHINA,SASCHA,Active
C2768,Splendour Marine Trading FZE,UNITED ARAB EMIRATES,MALEK,Active
C2493,Spliethoff's Bevrachtingskantoor B.V.,,VALERIO,Active
C1095,Stanford Marine LLC,UNITED ARAB EMIRATES,VAISHNAV,Active
C2533,STO CHARTERING KOREA CORP,"KOREA, REPUBLIC OF",HYUKMIN,Active
C2771,Storm Shipping & Trading Ltd c/o Iskele Denizcilik Ticaret Ltd,MARSHALL ISLANDS,CAN,Active
C2793,Subtech Offshore Group,UNITED ARAB EMIRATES,VAISHNAV,Active
C2224,SUKHOOR ALKHALEEJ General Trading,UNITED ARAB EMIRATES,MALEK,Active
